observaciones;U;V;T
512;13;-34;2873
726;17;-21;2821
730;10;-21;2809
844;9;-37;2830
948;2;-46;2838
829;9;-69;2900
880;14;-64;2905
560;16;-57;2907
789;13;-55;2865
763;12;-59;2841
519;4;-58;2836
587;0;-60;2863
689;2;-62;2865
805;-1;-74;2909
733;11;-28;2962
36;5;-2;3009
67;6;13;2968
128;7;12;2899
123;-12;-2;2888
59;-7;-13;2927
5;-13;-17;2930
2;-10;-13;3002
135;11;14;3018
111;-3;22;3003
124;-10;9;2955
33;-10;3;2902
4;-9;-9;2897
201;-3;-20;2903
103;-7;-21;2916
171;-24;-8;3005
19;-18;-3;2994
2;-14;-2;2989
0;-7;-6;2934
0;8;-14;2876
67;7;-25;2858
124;5;-25;2868
530;-1;-30;2884
642;-6;-40;2964
266;2;-41;2950
84;10;-24;2939
58;8;-28;2883
285;11;-37;2828
696;5;-24;2814
635;1;-37;2836
671;-3;-46;2845
860;-1;-68;2918
886;12;-58;2925
601;16;-49;2924
404;9;-42;2868
245;-10;-31;2871
72;-11;-32;2867
272;-2;-27;2899
260;14;-23;2915
260;55;-5;2978
268;65;-8;2978
418;53;-1;2974
357;40;-5;2931
219;37;10;2878
433;15;13;2858
167;-7;8;2867
4;-9;-16;2888
55;0;-21;2978
270;19;-2;2970
74;13;-9;2955
0;12;-17;2900
2;17;-17;2857
2;9;-22;2839
118;10;-18;2864
188;4;-31;2882
10;34;-18;2952
99;63;22;2961
34;47;20;2966
45;25;2;2939
90;24;7;2900
88;18;10;2882
14;32;3;2905
455;24;8;2919
482;26;18;3014
521;49;28;3014
606;43;36;3005
352;-6;31;2945
137;-2;9;2875
102;-6;-9;2863
20;0;-23;2868
2;-7;-20;2889
6;-16;-42;2983
34;17;-15;2992
184;11;15;2985
139;-2;2;2930
0;0;-1;2880
0;-6;-19;2860
0;-7;-18;2882
39;-19;-9;2902
16;5;-7;2984
64;24;14;2970
90;9;23;2967
14;-13;15;2901
21;-1;-2;2841
18;-1;-13;2824
124;-2;-13;2841
3;-5;-24;2848
6;-20;-36;2925
19;4;-25;2931
0;6;-21;2919
0;0;-22;2859
52;3;-25;2825
186;-2;-29;2809
200;-2;-43;2833
328;-7;-45;2834
591;-8;-54;2906
157;20;-18;2924
36;9;-26;2912
180;5;-41;2862
422;9;-33;2830
620;9;-37;2804
473;-2;-40;2826
487;-3;-48;2834
680;16;-60;2898
258;37;-31;2930
432;49;-11;2946
296;50;-11;2905
209;45;-2;2878
314;38;2;2889
403;30;3;2911
0;26;8;2923
0;37;17;2999
32;56;30;2997
135;33;30;2983
88;13;36;2945
201;-4;30;2882
118;-22;4;2865
185;-17;-18;2884
98;-22;-16;2891
118;-22;-1;2978
139;-9;15;2973
128;-10;16;2953
30;-15;8;2894
109;6;-4;2835
92;2;-13;2822
19;1;-18;2842
0;-5;-22;2857
17;16;-15;2946
117;24;-9;2938
53;21;-8;2929
20;22;-9;2884
96;34;-4;2834
133;23;-2;2818
72;23;-4;2841
137;14;-23;2873
93;37;-6;2931
36;41;15;2932
0;38;10;2930
0;30;1;2888
0;33;0;2837
125;23;-6;2819
34;23;-5;2840
223;20;-9;2871
259;49;-5;2910
637;48;31;2933
0;37;36;2941
0;36;28;2910
0;13;11;2859
1;16;7;2835
170;20;1;2863
237;24;5;2886
323;40;28;2953
0;50;54;2965
0;38;64;2975
0;31;50;2929
0;16;30;2897
438;1;28;2882
671;0;28;2893
265;7;26;2889
313;22;44;2952
0;23;68;2957
0;22;57;2949
0;20;33;2916
0;26;19;2865
186;13;16;2843
319;13;18;2867
416;30;30;2875
829;54;43;2922
798;66;49;2923
867;75;47;2903
654;68;74;2889
552;23;33;2878
496;30;32;2872
488;23;23;2879
63;26;25;2871
359;23;26;2891
30;34;23;2893
44;34;20;2913
0;31;8;2905
4;18;16;2861
7;12;11;2838
15;15;6;2857
29;23;-3;2862
91;50;-6;2939
309;72;10;2933
556;77;15;2918
610;68;16;2869
396;61;15;2844
392;50;7;2833
711;42;7;2862
497;64;13;2870
473;74;47;2915
659;74;67;2932
666;49;56;2937
710;65;51;2903
432;34;34;2876
256;23;18;2872
304;29;13;2908
273;25;13;2904
527;41;32;2969
757;49;41;2972
644;36;33;2972
283;25;14;2933
0;27;11;2876
84;-16;-3;2872
55;-7;-18;2889
126;-21;-13;2895
30;-4;-4;2960
9;16;20;2978
13;13;29;2976
23;-14;18;2934
43;-1;5;2883
95;-6;-10;2862
21;-3;-21;2878
0;-10;-21;2875
0;2;-14;2963
0;17;2;2946
18;9;10;2947
10;10;9;2919
0;14;2;2855
0;12;-21;2841
10;20;-8;2852
144;17;-6;2889
248;39;12;2943
592;41;35;2934
285;32;39;2905
75;21;15;2905
46;26;11;2879
190;-9;14;2869
281;-19;-2;2886
28;15;5;2893
147;-6;12;2942
377;-21;37;2979
70;-7;-4;2982
24;-11;-1;2946
67;-11;3;2903
2;-1;-23;2879
45;-1;-27;2929
74;-6;-21;2934
8;-13;-5;2988
60;-6;-4;2991
20;7;6;2986
0;-7;11;2951
0;-3;2;2897
0;-3;-9;2885
0;1;-21;2904
0;-12;-14;2904
2;-6;-10;2968
3;10;-5;2967
46;13;5;2961
4;-3;6;2921
1;2;9;2873
41;-1;-7;2854
17;6;-15;2852
5;-5;-22;2874
1;-14;-8;2945
0;-12;-10;2932
3;-13;-8;2934
0;-8;-17;2890
0;13;-20;2832
0;16;-21;2809
0;7;-21;2825
7;2;-25;2842
88;-18;-30;2903
161;-19;-29;2889
50;-16;-22;2895
34;-8;-24;2858
20;3;-28;2820
